,team_idx,team
8207,847,Gt Runners
8214,848,C R Popular S Tiago
8224,849,Grupo Desportivo Epvs
8226,850,Weekenders
8230,851,Running Team Maia
8269,852,Ginasio Viv
8281,853,Atletas De Fim-De-Semana
8300,854,Somos Muitos
8308,855,Trio  Runners
8314,856,Amigos Atletismo Gondomar
8324,857,Ùskê?-Nianos
8327,858,Pernetas D´Elite
8329,859,Decrunning
8344,860,G A Independes Gaia
8345,861,Os Pernetas
8354,862,Corredores Nocturnos De Paredes
8365,863,"Atletas Coffe, Amarante"
8378,864,Mirras
8379,865,Exsedentários
8396,866,Family
8405,867,Eir
8423,868,Slow Show
8429,869,Treino No Parque
8443,870,Feup Runners
8445,871,Caminhantes De São Pedro
8454,872,Soares Da Costa Runners
8475,873,R4f
8479,874,Atletas Douro - Clínica De Gondomar
8482,875,Los Parteneres
8486,876,Clínica Do Bonfim
8487,877,Clube Literário Da Maia
8488,878,Rios Team
8502,879,S.R. Cepanense
8508,880,B.V.Moreira-Maia
8517,881,Gvn Runners
8521,882,Dragons On Road
8527,883,Tripla Forma - Clube Da Corrida
8544,884,Sociveda
8545,885,Farruscas
8547,886,Holmes Place
8563,887,Alde A
8572,888,Papa Figos
8587,889,Www.Mft.Pt
8589,890,Elitianos
8592,891,Forest Gumpers
8604,892,Only_Women
8605,893,Casa Da Musica
8620,894,Runners & Bikers
8628,895,Pentelheiros Runners
8629,896,Budeguita Runners
8632,897,G D Banco Portugal
8655,898,Minis & Bifanas
8693,899,Carlos Magalhaes
8700,900,Nac
8705,901,Ferreiras
8718,902,Nel - Pedatleta
8727,903,Aumapa
8728,904,Famintos Runners
8732,905,Os Campeões
8736,906,2 Slow 2 Run
8745,907,Os Mama-Léguas
8763,908,Vamos Lá - Braga
8771,909,Aguiar Fc
8795,910,Penafidelenses
8797,911,Renovatio
8802,912,Macieirinhas
8804,913,Bamos Buber
8815,914,Sai Ao Pai
8823,915,Kenyanos Albinos
8857,916,Fundacao Axa Coracoes
8868,917,Gdbpi
8877,918,Pedro Alvares Cabral
8895,919,Friends Jogging Club
8902,920,Passatempo Unicer - Vitalis
8908,921,Kássilda
8911,922,Papa Léguas
8912,923,Aqui Vamos Nós
8925,924,Lote20
8927,925,Gdbbpi
8929,926,Personallis
8938,927,Union Sportive Argenteuillaise
8939,928,Vespa Runners
8953,929,Ciclistas Cósmicos
8957,930,A S Humanitária De Monte Córdova
8974,931,C.F. Oliveira Do Douro
8988,932,Fatima Costa
8999,933,Monte Aventino Runners
9000,934,Dondocas
9001,935,Os Trypé
9009,936,Nãodeslarga
9034,937,Pixelrunbiketrip
9061,938,M & M S
9077,939,Poteeentes By Parque Nascente
9080,940,Ventozela
9093,941,Desgarrada Numérica
9094,942,Desgarrada Numerica
9095,943,Speed Athletes
9100,944,Passatempo - Sport Zone
9112,945,Vespas Runners
9121,946,Vn
9144,947,Maia Atlético Clube
9162,948,Bom Sucesso Hc
9194,949,Aleixo
9200,950,Forrest Gumpers
9205,951,Nônô
9223,952,Nogueira Runners
9225,953,Barbosa Team
9232,954,654
9242,955,Run For Fun
9254,956,F&Se
9261,957,Turistas
9263,958,Midnight Runners
9268,959,Lixa Place
9278,960,Xx
9288,961,Movimento Cidadaos Por Gaia
9294,962,Oursense
